fechaIni,fechaFin,plazo,df
31-01-2020,03-02-2020,3,0.999866684
03-02-2020,04-02-2020,4,0.999822248
31-01-2020,11-02-2020,11,0.999337958
31-01-2020,18-02-2020,18,0.999204601
31-01-2020,25-02-2020,25,0.998897519
31-01-2020,04-03-2020,33,0.998544084
31-01-2020,06-04-2020,66,0.997127842
31-01-2020,04-05-2020,94,0.995960411
31-01-2020,04-06-2020,125,0.994723599
31-01-2020,06-07-2020,157,0.99350554
31-01-2020,04-08-2020,186,0.992426794
31-01-2020,04-09-2020,217,0.991317569
31-01-2020,05-10-2020,248,0.990258006
31-01-2020,04-11-2020,278,0.98926601
31-01-2020,04-12-2020,308,0.988305198
31-01-2020,04-01-2021,339,0.987363368
31-01-2020,04-02-2021,370,0.986453663
31-01-2020,04-05-2021,459,0.983902845
31-01-2020,04-08-2021,551,0.981357912
31-01-2020,04-11-2021,643,0.977306963
31-01-2020,04-02-2022,735,0.976480961
31-01-2020,06-02-2023,1102,0.966643131
31-01-2020,05-02-2024,1466,0.95646158
31-01-2020,04-02-2025,1831,0.945630507
31-01-2020,04-02-2026,2196,0.934054119
31-01-2020,04-02-2027,2561,0.92191919
31-01-2020,04-02-2028,2926,0.908965406
31-01-2020,05-02-2029,3293,0.895854859
31-01-2020,04-02-2030,3657,0.882336878
31-01-2020,04-02-2032,4387,0.854128813
31-01-2020,05-02-2035,5484,0.812927574
31-01-2020,06-02-2040,7311,0.747906674
31-01-2020,06-02-2045,9138,0.691869668
31-01-2020,04-02-2050,10962,0.641273293
31-01-2020,04-02-2060,14614,0.566176788
