tenor,typeRate,bid,ask,mid
1D,OverNight,-0.458,-0.458,-0.458
2D,OverNight,-0.458,-0.458,-0.458
1W,Cash,-0.457,-0.457,-0.457
2W,Cash,-0.456,-0.456,-0.456
1M,Cash,-0.458,-0.458,-0.458
2M,Cash,-0.461,-0.461,-0.461
3M,Cash,-0.4673,-0.4673,-0.4673
4M,Cash,-0.4706,-0.4706,-0.4706
5M,Cash,-0.476,-0.476,-0.476
6M,Cash,-0.48,-0.48,-0.48
7M,Cash,-0.4827,-0.4827,-0.4827
8M,Cash,-0.486,-0.486,-0.486
9M,Cash,-0.488,-0.488,-0.488
10M,Cash,-0.49,-0.49,-0.49
11M,Cash,-0.492,-0.492,-0.492
1Y,Cash,-0.493,-0.493,-0.493
18M,Bond,-0.505,-0.505,-0.505
2Y,Bond,-0.512,-0.512,-0.512
3Y,Bond,-0.511,-0.511,-0.511
4Y,Bond,-0.4951,-0.4951,-0.4951
5Y,Bond,-0.477,-0.477,-0.477
6Y,Bond,-0.4507,-0.4507,-0.4507
7Y,Bond,-0.4192,-0.4192,-0.4192
8Y,Bond,-0.3832,-0.3832,-0.3832
9Y,Bond,-0.346,-0.346,-0.346
10Y,Bond,-0.3063,-0.3063,-0.3063
11Y,Bond,-0.27,-0.27,-0.27
12Y,Bond,-0.2325,-0.2325,-0.2325
15Y,Bond,-0.143,-0.143,-0.143
20Y,Bond,-0.0865,-0.0865,-0.0865
25Y,Bond,-0.1045,-0.1045,-0.1045
30Y,Bond,-0.149,-0.149,-0.149
40Y,Bond,-0.24,-0.24,-0.24
50Y,Bond,-0.324,-0.324,-0.324
